TYPE-COLLATERAL,COLLATERAL,PARTY,DOC-ID,DRDATE,PROCESSING-DATE,CORR-DATE,CORR-ID,SERIAL-ID,DOC-TYPE,
1,1003K                                ,                                                  ,            ,20250617,20250618,20250618,C,3730                          ,BOS,
1,1003K                                ,                                                  ,            ,20250617,20250618,20250618,C,3730                          ,BOS,
1,1003K                                ,                                                  ,            ,20250617,20250618,20250618,C,3730                          ,BOS,
1,1007V                                ,                                                  ,            ,20250612,20250612,        , ,73-31060                      ,BOS,
1,1007V                                ,                                                  ,            ,20250612,20250612,        , ,73-31060                      ,BOS,
1,100BG                                ,                                                  ,ARE016922452,20250602,20250602,        , ,21060633                      ,BOS,
1,100BG                                ,                                                  ,ARE016922452,20250602,20250602,        , ,21060633                      ,BOS,
1,100HK                                ,                                                  ,            ,20250613,20250616,        , ,696                           ,BOS,
1,100HK                                ,                                                  ,            ,20250613,20250616,        , ,696                           ,BOS,
1,100HW                                ,                                                  ,            ,20250612,20250612,        , ,2881884                       ,BOS,
1,100HW                                ,                                                  ,            ,20250612,20250612,        , ,2881884                       ,S/A,
1,100HW                                ,                                                  ,            ,20250612,20250612,        , ,2881884                       ,S/A,
1,100HW                                ,                                                  ,            ,20250612,20250612,        , ,2881884                       ,BOS,
1,100WP                                ,                                                  ,            ,20250609,20250609,        , ,560-0073                      ,REL,
1,100WP                                ,                                                  ,            ,20250609,20250609,        , ,560-0073                      ,BOS,
1,100WP                                ,                                                  ,            ,20250609,20250609,        , ,560-0073                      ,REL,
1,100WP                                ,                                                  ,            ,20250609,20250609,        , ,560-0073                      ,BOS,
1,1010Y                                ,                                                  ,            ,20250606,20250606,        , ,28R-35800                     ,BOS,
1,1010Y                                ,                                                  ,            ,20250606,20250606,        , ,28R-35800                     ,BOS,
1,1015A                                ,                                                  ,ARE016955048,20250602,20250602,        , ,401-0735                      ,REL,
1,1015A                                ,                                                  ,ARE016955048,20250602,20250602,        , ,401-0735                      ,REL,
1,1015A                                ,                                                  ,ARE016955048,20250602,20250602,        , ,401-0735                      ,REL,
1,10192                                ,                                                  ,            ,20250616,20250617,        , ,401-0731                      ,S/A,
1,10192                                ,                                                  ,            ,20250616,20250617,        , ,401-0731                      ,S/A,
1,101EC                                ,                                                  ,            ,20250612,20250613,        , ,24-0593                       ,REL,
1,101EC                                ,                                                  ,            ,20250612,20250613,        , ,24-0593                       ,REL,
1,101LA                                ,                                                  ,            ,20250617,20250617,        , ,172S13119                     ,S/A,
1,101LA                                ,                                                  ,            ,20250617,20250617,        , ,172S13119                     ,S/A,
1,101TW                                ,                                                  ,            ,20250617,20250617,        , ,TMW-1                         ,BOS,
1,101TW                                ,                                                  ,            ,20250617,20250617,        , ,TMW-1                         ,BOS,
1,1020P                                ,                                                  ,ARE016930468,20250604,20250604,        , ,1445                          ,BOS,
1,1020P                                ,                                                  ,ARE016930468,20250604,20250604,        , ,1445                          ,BOS,
1,1020P                                ,                                                  ,ARE016947557,20250611,20250611,        , ,1445                          ,BOS,
1,1020P                                ,                                                  ,ARE016947557,20250611,20250611,        , ,1445                          ,BOS,
1,102DP                                ,                                                  ,            ,20250610,20250610,        , ,N4473346                      ,BOS,
1,102DP                                ,                                                  ,            ,20250610,20250610,        , ,N4473346                      ,BOS,
1,10375                                ,                                                  ,ARE016925744,20250602,20250602,        , ,67-18376                      ,BOS,
